Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
25 MS1025,EFT,0.3153151,0.734325,30,IP30,42.96,"In about one month I am at the Las Vegas Sand Dunes riding quads.I am with my two daughters, Suzi and Samantha, and my husband, Kevin.I am at the sand dunes celebrating Samantha's birthday.I am driving at high speeds up and down the sandy slopes of the dunes.I am feeling the warm air blowing against me.I am teaching Samantha how to drive a quad.I am laughing and having a good time.I am enjoying watching my children ride for the first time.","In about one month I am at the Las Vegas Sand Dunes riding quads.I am with my two daughters, Suzi and Samantha, and my husband, Kevin.I am at the sand dunes celebrating Samantha's birthday.I am driving at high speeds up and down the sandy slopes of the dunes.I am feeling the warm air blowing against me.I am teaching Samantha how to drive a quad.I am laughing and having a good time.I am enjoying watching my children ride for the first time.",88,80.14,15.32,99,94.75,88,18.18,84.09,52.27,13.64,13.64,13.64,0,0,0,0,0,9.09,13.64,10.23,2.27,5.68,0,13.64,3.41,0,1.14,3.41,0,4.55,4.55,0,0,0,0,4.55,2.27,0,1.14,1.14,3.41,1.14,1.14,0,0,0,1.14,7.95,1.14,1.14,5.68,0,0,0,0,0,10.23,2.27,2.27,5.68,1.14,0,0,9.09,0,20.45,4.55,9.09,6.82,1.14,1.14,0,0,0,0,0,0,0,0,0,0,13.64,9.09,3.41,0,0,0,0,0,0,1.14,0,0
29 MS1029,EFT,0.5934521,0.8613,30,IP30,71.1,"In about 1 month I am on Spring Break.I do not have homework to do and I am not stressed.I am in Indiana visiting my sister at her apartment.We eat breakfast at Denny's and then drive to a nature park, Turkey Run, to hike.Then we eat dinner at our favorite restaurant, the Hilltop, and see a movie in the evening.We spend the whole day together.It is fun and relaxing.","In about 1 month I am on Spring Break.I do not have homework to do and I am not stressed.I am in Indiana visiting my sister at her apartment.We eat breakfast at Denny's and then drive to a nature park, Turkey Run, to hike.Then we eat dinner at our favorite restaurant, the Hilltop, and see a movie in the evening.We spend the whole day together.It is fun and relaxing.",75,67.31,65.56,98.01,75.29,75,16,90.67,56,14.67,13.33,6.67,5.33,0,1.33,0,1.33,6.67,14.67,9.33,1.33,8,2.67,17.33,2.67,0,0,1.33,1.33,5.33,4,1.33,1.33,0,0,10.67,1.33,0,2.67,0,2.67,0,0,0,0,0,2.67,1.33,1.33,0,0,6.67,0,0,0,6.67,8,8,0,0,0,0,0,16,2.67,25.33,5.33,10.67,8,1.33,6.67,2.67,1.33,0,0,0,0,0,0,0,0,16,9.33,5.33,0,0,0,0,0,0,1.33,0,0
85 MS1085,ERT,0.3480822,0.348082192,365,IP365,11.72,"About 288 hours ago, I was helping my son file his income tax. My son and I were very happy filing his income tax, because we really needed that money to come in.","About 288 hours ago, I was helping my son file his income tax. My son and I were very happy filing his income tax, because we really needed that money to come in.",33,13.54,72.77,31.94,99,16.5,6.06,90.91,51.52,24.24,21.21,12.12,3.03,0,6.06,0,3.03,0,9.09,6.06,9.09,6.06,0,12.12,3.03,0,0,3.03,0,6.06,6.06,0,0,0,0,18.18,6.06,0,0,12.12,9.09,0,3.03,3.03,0,0,3.03,0,0,0,0,0,0,0,0,0,3.03,3.03,0,0,0,0,12.12,3.03,0,12.12,3.03,3.03,6.06,12.12,0,0,15.15,0,0,0,0,0,0,0,0,12.12,6.06,6.06,0,0,0,0,0,0,0,0,0
142 MS1142,ERT,0.9894795,0.989479452,365,IP365,99.22,"about 288 days ago I was enjoying a workout and my child, who was enjoying the workout with me at the Y.We laughed alot","About 288 days ago I was enjoying a workout and my child, who was enjoying the workout with me at the Y.We laughed a lot.",26,82.82,64.99,63.54,99,26,19.23,92.31,57.69,19.23,15.38,11.54,3.85,0,0,0,3.85,15.38,11.54,7.69,3.85,3.85,0,7.69,0,0,3.85,3.85,3.85,11.54,11.54,0,0,0,0,11.54,0,0,0,0,3.85,0,0,0,3.85,0,0,3.85,0,3.85,0,7.69,0,7.69,0,0,7.69,3.85,0,3.85,0,0,11.54,0,0,11.54,0,3.85,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,11.54,7.69,3.85,0,0,0,0,0,0,0,0,0
13 MS1013,EFT,0.5943562,0.868125,30,IP30,64.84,"In about 1 month, I am starting to read a book I have been waiting on for over a year. I am at home with my family who are sleeping after a long day together. I am sitting outside with a beer and a cigar, enjoying the cool night air and the stillness around me. I am feeling both at peace and excited.","In about 1 month, I am starting to read a book I have been waiting on for over a year. I am at home with my family who are sleeping after a long day together. I am sitting outside with a beer and a cigar, enjoying the cool night air and the stillness around me. I am feeling both at peace and excited.",63,93.26,26.27,99,99,15.75,15.87,96.83,60.32,12.7,11.11,11.11,0,0,0,0,1.59,11.11,20.63,11.11,3.17,4.76,0,20.63,6.35,1.59,1.59,1.59,1.59,6.35,6.35,0,0,0,0,4.76,1.59,0,0,0,1.59,1.59,0,0,0,0,0,3.17,0,0,3.17,4.76,1.59,1.59,0,3.17,6.35,3.17,0,1.59,1.59,0,1.59,9.52,0,30.16,0,19.05,11.11,3.17,4.76,3.17,0,0,0,1.59,0,0,1.59,0,0,9.52,6.35,3.17,0,0,0,0,0,0,0,0,0
89 MS1089,ERT,0.3032329,0.303232877,180,IP180,39.84,"About 144 hours ago I was out to dinner at a restaurant. I was enjoying an Italian meal at The Olive Garden, with my husband and daughter. My daughter was so excited when they brought the fettuccine alfredo to out table for her.","About 144 hours ago I was out to dinner at a restaurant. I was enjoying an Italian meal at The Olive Garden, with my husband and daughter. My daughter was so excited when they brought the fettuccine alfredo to our table for her.",43,79.72,75.74,64.67,95.29,14.33,23.26,86.05,58.14,16.28,16.28,9.3,2.33,0,2.33,2.33,0,9.3,18.6,6.98,6.98,6.98,0,9.3,2.33,0,2.33,2.33,0,4.65,4.65,0,0,0,0,13.95,6.98,0,6.98,2.33,0,0,0,0,0,0,0,0,0,0,0,6.98,0,0,0,6.98,6.98,4.65,0,0,2.33,0,11.63,0,0,16.28,2.33,6.98,6.98,0,4.65,2.33,0,0,0,0,0,0,0,0,0,9.3,6.98,2.33,0,0,0,0,0,0,0,0,0
71 MS1071,EFT,0.6285205,0.628520548,365,IP365,33.6,"In about 1 year I am at my grandmothers house on Christmas morning.I smell cookies in the air as my belly rumbles.I am hungry, but I have already eaten three cookies and don't want to upset my stomache since we are about to have a large pancake breakfast.I am extremely excited to be here with all of my family members, and happy they all made it out this year.A present is handed to me as a wave of joy and contentment rushes through my body.I tear open the package and scream in excitement, it's the new Nvidia card I have been wanting for my computer for months.","In about 1 year I am at my grandmother’s house on Christmas morning.I smell cookies in the air as my belly rumbles.I am hungry, but I have already eaten three cookies and don't want to upset my stomach since we are about to have a large pancake breakfast.I am extremely excited to be here with all of my family members, and happy they all made it out this year.A present is handed to me as a wave of joy and contentment rushes through my body.I tear open the package and scream in excitement, it's the new NVidia card I have been wanting for my computer for months.",112,66.01,18.6,92.08,75.48,112,17.86,93.75,58.04,16.96,14.29,12.5,0.89,0,0,0.89,2.68,5.36,18.75,10.71,4.46,6.25,0.89,15.18,6.25,1.79,0,1.79,1.79,6.25,4.46,1.79,0.89,0,0,4.46,1.79,0,0.89,0,7.14,0,1.79,1.79,0,2.68,0.89,1.79,0,0.89,0,8.04,2.68,0,0,5.36,5.36,2.68,0,0.89,1.79,0,3.57,12.5,0,17.86,1.79,8.04,8.04,0.89,2.68,1.79,0,0.89,0,0,0,0,0,0,0,10.71,5.36,2.68,0,0,0,0,0,0,2.68,0,0
14 MS1014,EFT,0.6413425,0.689475,365,IP365,82.04,"In about one year I am at dinner with my wife on Christmas day.I am bustling about the whole day getting ready: going to the store, preparing ingredients, putting on Christmas music, and getting presents ready.I am with my wife, possibly her parents, and hopefully my parents.I am talking about work, and getting food ready for the meal.I am laughing about the size of our small kitchen.I am enjoying the familiarity of being around my wife.I am sitting down to the meal with all who could make it.I am pleased to see everyone getting good food.I am pleased with good company.","In about one year I am at dinner with my wife on Christmas day.I am bustling about the whole day getting ready: going to the store, preparing ingredients, putting on Christmas music, and getting presents ready.I am with my wife, possibly her parents, and hopefully my parents.I am talking about work, and getting food ready for the meal.I am laughing about the size of our small kitchen.I am enjoying the familiarity of being around my wife.I am sitting down to the meal with all who could make it.I am pleased to see everyone getting good food.I am pleased with good company.",109,76.12,46.33,62.65,99,109,22.94,95.41,54.13,16.51,13.76,11.93,0.92,0,0.92,0,2.75,5.5,18.35,10.09,5.5,2.75,0,18.35,0.92,0,0.92,0.92,1.83,9.17,9.17,0,0,0,0,10.09,4.59,0,3.67,0,5.5,0,0.92,1.83,1.83,1.83,0,2.75,0.92,1.83,0,5.5,0,0,0,5.5,13.76,5.5,0.92,1.83,5.5,0,0,11.01,2.75,13.76,1.83,7.34,4.59,1.83,0.92,0.92,0.92,1.83,0,0,0,0,0,0,0,14.68,8.26,5.5,0.92,0,0,0,0,0,0,0,0
51 MS1051,EFT,0.7592877,0.759287671,365,IP365,49.22,"In about 1 year I am eating Thanksgiving dinner at my house with my family. I am sitting next to my wife, our son is next to her in his high chair. My wife's parents are across the table from me. The turkey is between us, the rich smell of smoke coming from it, perfuming the house with that delicious scent of the holidays. Our plates are piled high with mashed potatoes and gravy, slices of turkey, oyster stuffing, and cranberry relish. I am feeling so loved.","In about 1 year I am eating Thanksgiving dinner at my house with my family. I am sitting next to my wife; our son is next to her in his high chair. My wife's parents are across the table from me. The turkey is between us, the rich smell of smoke coming from it, perfuming the house with that delicious scent of the holidays. Our plates are piled high with mashed potatoes and gravy, slices of turkey, oyster stuffing, and cranberry relish. I am feeling so loved.",87,84.23,75.49,47.93,85.87,14.5,12.64,82.76,52.87,17.24,14.94,9.2,3.45,0,2.3,0,2.3,5.75,18.39,8.05,2.3,3.45,0,12.64,5.75,0,0,1.15,0,3.45,3.45,0,0,0,0,12.64,5.75,0,3.45,2.3,1.15,1.15,0,0,0,0,0,5.75,0,0,1.15,6.9,0,0,0,5.75,12.64,9.2,0,3.45,0,0,0,8.05,1.15,12.64,1.15,8.05,3.45,0,2.3,3.45,1.15,0,0,0,0,0,0,0,0,14.94,6.9,5.75,0,1.15,0,0,0,0,1.15,0,0
83 MS1083,ERT,0.5613699,0.561369863,365,IP365,39.84,"About 288 hours ago I was finding out I am pregnant. I was sitting on our bathroom floor, and my husband was still asleep. It was the second of our two pregnancy tests, and the little plus sign was turning blue.","About 288 hours ago I was finding out I am pregnant. I was sitting on our bathroom floor, and my husband was still asleep. It was the second of our two pregnancy tests, and the little plus sign was turning blue.",41,33.72,76.78,96.26,25.77,13.67,17.07,92.68,56.1,17.07,14.63,9.76,4.88,0,0,0,2.44,4.88,12.2,14.63,4.88,7.32,0,17.07,4.88,0,0,7.32,0,0,0,0,0,0,0,12.2,7.32,0,0,2.44,2.44,2.44,0,0,0,0,0,2.44,2.44,0,0,7.32,2.44,4.88,4.88,0,9.76,7.32,0,0,2.44,0,14.63,2.44,0,19.51,0,12.2,7.32,2.44,2.44,2.44,0,0,0,0,0,0,0,0,0,12.2,7.32,4.88,0,0,0,0,0,0,0,0,0
143 MS1143,ERT,0.797726,0.797726027,30,IP30,89.84,About 24 hours ago I was hanging out with Leah. She came over to my house to pick up her laptop charger. We hung out in her car for awhile relaxing and talking.,About 24 hours ago I was hanging out with Leah. She came over to my house to pick up her laptop charger. We hung out in her car for a while relaxing and talking.,34,95.58,88.03,81.91,79.41,11.33,11.76,88.24,58.82,17.65,17.65,5.88,2.94,0,8.82,0,0,2.94,29.41,2.94,2.94,5.88,0,11.76,0,0,0,2.94,0,2.94,2.94,0,0,0,0,14.71,0,0,8.82,0,2.94,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,2.94,0,5.88,0,0,8.82,2.94,0,29.41,5.88,14.71,8.82,2.94,5.88,2.94,0,0,0,0,0,0,0,0,0,8.82,8.82,0,0,0,0,0,0,0,0,0,0
125 MS1125,ERT,0.3414521,0.341452055,365,IP365,0.78,"About 200 hours I was at the park with my daughter. We were at the park, we rode the swings and the slides. We also rode the merry-go-round. We ran around kicking the soccer ball to another.",About 200 hours I was at the park with my daughter. We were at the park; we rode the swings and the slides. We also rode the merry-go-round. We ran around kicking the soccer ball to another.,39,87.08,96.34,94.81,73.64,9.75,7.69,92.31,58.97,17.95,15.38,5.13,10.26,0,0,0,2.56,15.38,15.38,5.13,7.69,5.13,0,23.08,2.56,0,0,2.56,2.56,2.56,2.56,0,0,0,0,12.82,2.56,0,2.56,0,0,0,0,0,0,0,0,2.56,2.56,0,2.56,0,0,0,0,0,10.26,10.26,0,0,0,0,12.82,7.69,0,25.64,15.38,7.69,2.56,0,5.13,0,0,0,0,0,0,0,0,0,0,17.95,10.26,0,0,2.56,0,0,5.13,0,0,0,0
97 MS1097,ERT,0.5110411,0.511041096,180,IP180,39.84,"About 144 hours ago I received tulips, a box of candy and a card from my husband for St. Valentine's Day.It was the first time I'd ever gotten flowers and candy from him.I was VERY much excited and could barely contain myself.I was at home and had been waiting on my husband to come home.I was lying in bed reading and I had fallen asleep.He woke me up when he came in and just talked to me.He told me about flowers and such and I didn't believe him.He had never bought me flowers and candy before.And he motioned over to the laptop table and I looked and couldn't see anything.He wasn't joking.He was serious.I turned on the overhead light and there was the candy and the tulips!I shrieked!I was tickled and I couldn't stop shouting and hugging my hubby.I hugged him hard over and over and I kissed him so many times.I don't think he'd ever seen me like that.","About 144 hours ago I received tulips, a box of candy and a card from my husband for St. Valentine's Day.It was the first time I'd ever gotten flowers and candy from him.I was VERY much excited and could barely contain myself.I was at home and had been waiting on my husband to come home.I was lying in bed reading and I had fallen asleep.He woke me up when he came in and just talked to me.He told me about flowers and such and I didn't believe him.He had never bought me flowers and candy before.And he motioned over to the laptop table and I looked and couldn't see anything.He wasn't joking.He was serious.I turned on the overhead light and there was the candy and the tulips!I shrieked!I was tickled and I couldn't stop shouting and hugging my hubby.I hugged him hard over and over and I kissed him so many times.I don't think he'd ever seen me like that.",175,9.36,24.63,69.14,58.2,87.5,12.57,92.57,63.43,22.29,20.57,13.71,0,0,6.86,0,1.71,4,11.43,10.86,6.86,11.43,3.43,20,2.86,1.14,0.57,1.14,1.14,4,2.86,1.14,0,0.57,0,11.43,1.71,0.57,0,8.57,6.86,1.14,0,1.71,1.14,1.71,1.14,3.43,2.29,0.57,0.57,2.86,0.57,0,0,2.29,8.57,4,0.57,2.29,1.14,0.57,13.71,2.86,0,16.57,3.43,5.71,8,0.57,0.57,1.71,0.57,0,0,0,0,0,0,0,0,14.86,8.57,0.57,0,0,0,1.14,0,0,4.57,0,0
8 MS1008,EFT,0.4712329,0.7305,180,IP180,42.96,"In about 6 months I am at a mountain cabin just outside Gatlinburg, TN.I am standing next to a mountain stream and waterfall.I am memorized by the sounds and beauty.I am reminiscing of the times I used to come here with my mom and day many years ago.","In about 6 months I am at a mountain cabin just outside Gatlinburg, TN.I am standing next to a mountain stream and waterfall.I am memorized by the sounds and beauty.I am reminiscing of the times I used to come here with my mom and dad many years ago.",51,85.92,21.64,95.79,62.94,51,15.69,80.39,54.9,11.76,11.76,11.76,0,0,0,0,0,7.84,17.65,7.84,5.88,5.88,0,11.76,1.96,0,0,1.96,1.96,1.96,1.96,0,0,0,0,3.92,3.92,0,1.96,1.96,3.92,1.96,1.96,0,0,0,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,3.92,9.8,0,17.65,1.96,5.88,9.8,0,0,0,0,0,0,0,0,0,0,0,0,9.8,7.84,1.96,0,0,0,0,0,0,0,0,0
81 MS1081,ERT,0.3776164,0.377616438,365,IP365,38.28,"About 288 hours ago, I was watching a series of ""Snapped"" episodes I had recorded. I was, again, laying on the couch in the den under an electric blanket. I was alone, not accompanied by either my spouse nor either of my cats. I was doing very little else other than idly watching TV and occasionally daydreaming.","About 288 hours ago, I was watching a series of ""Snapped"" episodes I had recorded. I was, again, lying on the couch in the den under an electric blanket. I was alone, accompanied by neither my spouse nor either of my cats. I was doing very little else other than idly watching TV and occasionally daydreaming.",56,63.63,1.02,99,1,14,19.64,85.71,55.36,14.29,12.5,12.5,0,0,0,0,1.79,7.14,14.29,10.71,5.36,3.57,3.57,16.07,7.14,5.36,0,1.79,3.57,3.57,0,3.57,0,1.79,1.79,3.57,1.79,0,0,0,12.5,0,0,0,1.79,0,10.71,3.57,3.57,0,0,0,0,0,0,0,5.36,3.57,0,1.79,0,0,10.71,0,0,16.07,0,7.14,8.93,0,1.79,3.57,0,0,0,0,0,0,0,0,0,17.86,7.14,7.14,0,0,0,0,0,3.57,0,0,0
49 MS1049,EFT,0.7780548,0.778054795,365,IP365,69.54,"In about 1 year I am working the last night of our family and friends operated haunted house. It's Saturday night, October 29th. It's a dark and spooky fall evening outside and an even spookier evening inside. I'm working with my spouse, all of her immediate family, my son and his wife and a lot of our friends and neighbors to scare the pants off of hundreds of haunt goers looking for Halloween chills and thrills.","In about 1 year I am working the last night of our family and friends operated haunted house. It's Saturday night, October 29th. It's a dark and spooky fall evening outside and an even spookier evening inside. I'm working with my spouse, all of her immediate family, my son and his wife and a lot of our friends and neighbors to scare the pants off of hundreds of haunt goers looking for Halloween chills and thrills.",76,84.77,90.57,59,9.56,19,23.68,89.47,48.68,13.16,10.53,5.26,2.63,0,2.63,0,2.63,6.58,17.11,5.26,2.63,9.21,0,9.21,1.32,0,0,2.63,2.63,3.95,1.32,2.63,1.32,0,0,15.79,6.58,3.95,2.63,2.63,2.63,0,0,0,1.32,1.32,0,2.63,2.63,0,0,2.63,0,2.63,0,0,14.47,11.84,2.63,0,0,0,0,5.26,0,19.74,1.32,6.58,11.84,3.95,2.63,5.26,0,0,0,0,0,0,0,0,0,13.16,5.26,3.95,0,0,0,0,0,0,3.95,0,0
50 MS1050,EFT,0.7996712,0.799671233,365,IP365,75.78,"In about 1 year, I am making the last payment on my credit card. I am sitting at my desk, looking over our finances and ready to pay off the last of the debt. I log on to the website and apply the payment from my bank account. I make the final payment and then my husband and I go out to dinner to celebrate our accomplishments.","In about 1 year, I am making the last payment on my credit card. I am sitting at my desk, looking over our finances and ready to pay off the last of the debt. I log on to the website and apply the payment from my bank account. I make the final payment and then my husband and I go out to dinner to celebrate our accomplishments.",67,94.53,32.72,98.62,80.01,16.75,16.42,92.54,56.72,16.42,16.42,13.43,2.99,0,0,0,0,8.96,20.9,2.99,1.49,7.46,0,10.45,1.49,0,0,1.49,0,2.99,2.99,0,0,0,0,5.97,1.49,0,0,1.49,2.99,0,2.99,0,0,0,0,1.49,1.49,0,0,1.49,0,0,0,1.49,8.96,5.97,2.99,1.49,0,0,0,5.97,1.49,20.9,1.49,11.94,7.46,13.43,1.49,0,13.43,0,0,0,0,0,0,0,0,8.96,5.97,2.99,0,0,0,0,0,0,0,0,0
71 MS1071,EFT,0.6285205,0.628520548,180,IP180,89.84,In about 6 months I am at the Fear Factory.I have been looking forward to this day all year and am overjoyed to finally be here.The haunted house manager is on a stage in front of me and many others telling us the rules to be a cast member here.It is very dark in the room except for a bright light on the stage so I can't see anyone else's faces.I am trying my best to hear everything he has to tell us so I can ensure I don't break any rules.I am excited to have my acting makeup put on me and start to learn the new haunted house directions this year.,In about 6 months I am at the Fear Factory.I have been looking forward to this day all year and am overjoyed to finally be here.The haunted house manager is on a stage in front of me and many others telling us the rules to be a cast member here.It is very dark in the room except for a bright light on the stage so I can't see anyone else's faces.I am trying my best to hear everything he has to tell us so I can ensure I don't break any rules.I am excited to have my acting makeup put on me and start to learn the new haunted house directions this year.,118,58.89,33.58,90.34,25.77,118,10.17,92.37,60.17,16.95,11.86,9.32,1.69,0,0.85,0,5.08,7.63,15.25,11.86,5.93,4.24,1.69,18.64,4.24,0.85,0,0.85,2.54,5.08,2.54,2.54,0.85,0,0,7.63,0,0,0,0.85,7.63,0.85,0,0,2.54,1.69,2.54,5.08,4.24,0.85,0,0.85,0.85,0,0,0,7.63,2.54,1.69,3.39,1.69,0,0.85,16.1,0,16.95,1.69,9.32,6.78,2.54,0,2.54,0,0,0,0,0,0,0,0,0,7.63,5.08,0,0,0,0,0,0,0,2.54,0,0
27 MS1027,EFT,0.3011233,0.8281,365,IP365,10.16,I am enjoying a cold beer with my best friend from college at our favoritebar from the good old days named Harpos. I am drinking miller lite and we are sharing memories of the good old days. I am feeling very relaxed and carefree.,I am enjoying a cold beer with my best friend from college at our favorite bar from the good old days named Harpo’s. I am drinking miller lite and we are sharing memories of the good old days. I am feeling very relaxed and carefree.,45,75.9,67.16,71.7,99,15,20,93.33,46.67,13.33,13.33,8.89,4.44,0,0,0,0,6.67,11.11,8.89,2.22,4.44,0,15.56,6.67,2.22,0,0,0,17.78,17.78,0,0,0,0,8.89,0,2.22,0,0,4.44,4.44,0,0,0,0,0,4.44,0,0,4.44,6.67,0,0,0,6.67,15.56,8.89,2.22,2.22,6.67,0,2.22,8.89,0,11.11,0,2.22,8.89,2.22,8.89,0,0,0,0,0,0,0,0,0,0,8.89,6.67,0,0,0,0,0,0,0,2.22,0,0
98 MS1098,ERT,0.2030685,0.203068493,365,IP365,38.28,Curtis came up and we took CJ to his work to get his paycheck.We had a great time talking.We sat in the car and talked while he went in to get his check.,Curtis came up and we took CJ to his work to get his paycheck. We had a great time talking. We sat in the car and talked while he went in to get his check.,35,81.17,99,13.15,78.19,11.67,5.71,91.43,54.29,20,20,0,8.57,0,11.43,0,0,5.71,17.14,2.86,0,8.57,0,25.71,2.86,0,0,0,0,2.86,2.86,0,0,0,0,25.71,0,0,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71,8.57,2.86,2.86,11.43,0,17.14,8.57,0,25.71,8.57,8.57,8.57,5.71,0,0,2.86,0,0,0,0,0,0,0,0,8.57,8.57,0,0,0,0,0,0,0,0,0,0
126 MS1126,ERT,0.597589,0.597589041,365,IP365,49.22,"I was at a school near home. I arrived to school so that I could look up a Digital Graphics program/degree. I'm interested in Animation. Disney is what has inspired me to pursue a career in animation. Their movies give me great sense of joy, inspiration, and imagination. Whenever I draw, I feel like I have so much energy. I feel like nothing in my drawings is limited. Upon visiting the school, I decided to grab a drink from the vending machine. I grabbed a 20oz bottle of Pepsi. It was really hot on this day, so I thought the soft drink would help me stay cool. I then headed inside the career counselors office. I was greeted by Alex. Alex was a Animation/Video Production coordinator for the school. We talked about the courses I needed to take and the requirements to be in the Animation program.","I was at a school near home. I arrived to school so that I could look up a Digital Graphics program/degree. I'm interested in Animation. Disney is what has inspired me to pursue a career in animation. Their movies give me great sense of joy, inspiration, and imagination. Whenever I draw, I feel like I have so much energy. I feel like nothing in my drawings is limited. Upon visiting the school, I decided to grab a drink from the vending machine. I grabbed a 20oz bottle of Pepsi. It was really hot on this day, so I thought the soft drink would help me stay cool. I then headed inside the career counselors office. I was greeted by Alex. Alex was an Animation/Video Production coordinator for the school. We talked about the courses I needed to take and the requirements to be in the Animation program.",149,80.87,23.02,86.13,95.51,10.64,19.46,89.26,54.36,16.11,13.42,12.08,0.67,0,0,0.67,2.68,9.4,15.44,8.05,4.03,4.7,0.67,17.45,3.36,1.34,1.34,0,0.67,4.7,4.7,0,0,0,0,5.37,0,0,0,0,9.4,5.37,0.67,2.01,0,0.67,0.67,7.38,2.01,0,4.7,2.01,0,0,0,2.01,4.7,2.01,0.67,1.34,1.34,0,5.37,8.05,0.67,11.41,2.68,7.38,2.01,8.72,2.68,0.67,0,0,0,0.67,0,0,0.67,0,0,14.77,9.4,3.36,0,0,0,0,0,0,0.67,0,1.34
65 MS1065,EFT,0.8998082,0.899808219,180,IP180,89.84,"In about 6 months I am assembling a new combination hack squat/leg press machine in my home gym. My training partner and I are working on assembling the machine, and I am feeling excited because I've been looking forward to getting this machine for a long time. As a bodybuilder I am really looking forward to having a commercial grade machine that will hold as much weight as I am able to pile on it. I am already looking forward to testing myself on it.",In about 6 months I am assembling a new combination hack squat/leg press machine in my home gym. My training partner and I are working on assembling the machine and I am feeling excited because I've been looking forward to getting this machine for a long time. As a bodybuilder I am really looking forward to having a commercial grade machine that will hold as much weight as I am able to pile on it. I am already looking forward to testing myself on it.,86,63.06,17.61,91.06,47.26,21.5,27.91,87.21,54.65,16.28,11.63,11.63,0,0,0,0,4.65,5.81,16.28,11.63,3.49,6.98,0,19.77,5.81,3.49,0,1.16,1.16,1.16,1.16,0,0,0,0,3.49,0,1.16,0,0,3.49,1.16,1.16,0,0,0,1.16,6.98,3.49,0,3.49,3.49,2.33,0,0,1.16,5.81,1.16,2.33,0,2.33,0,2.33,8.14,1.16,15.12,3.49,10.47,8.14,4.65,1.16,1.16,0,0,0,0,0,0,0,0,0,6.98,4.65,0,0,0,0,0,0,0,1.16,0,1.16
94 MS1094,ERT,0.6333151,0.633315069,180,IP180,49.22,About 144 hours ago I was in Lexington with my husband and mother-in-law. We were at an outdoor show looking at boats and recreational vehicles. I was feeling happy spending time with them and enjoyed looking at the products.,About 144 hours ago I was in Lexington with my husband and mother-in-law. We were at an outdoor show looking at boats and recreational vehicles. I was feeling happy spending time with them and enjoyed looking at the products.,40,83.17,77.33,86.07,96.76,13.33,27.5,87.5,50,12.5,12.5,7.5,2.5,0,0,2.5,0,5,17.5,7.5,2.5,7.5,0,17.5,2.5,0,0,2.5,0,5,5,0,0,0,0,12.5,7.5,0,2.5,2.5,5,2.5,2.5,0,0,0,0,10,7.5,0,2.5,0,0,0,0,0,5,5,0,0,0,0,10,0,0,17.5,0,10,7.5,2.5,2.5,0,2.5,0,0,0,0,0,0,0,0,12.5,7.5,0,0,0,0,0,5,0,0,0,0
92 MS1092,ERT,0.3311781,0.331178082,180,IP180,24.22,About 144 hours ago I was at the mall with my mom.I was shopping for a new dress for a university club event at Dillard's.We were finding some really nice statement pieces and I was feeling excited that they had so much in my size.I was glad to see they expanded their section for people my size.I was really happy with how I looked in the blue dress I ended up getting.,About 144 hours ago I was at the mall with my mom.I was shopping for a new dress for a university club event at Dillard's.We were finding some really nice statement pieces and I was feeling excited that they had so much in my size.I was glad to see they expanded their section for people my size.I was really happy with how I looked in the blue dress I ended up getting.,76,57.18,25.52,99,97.58,76,13.16,92.11,56.58,19.74,18.42,13.16,1.32,0,0,3.95,1.32,5.26,15.79,9.21,6.58,3.95,0,15.79,7.89,0,1.32,1.32,5.26,5.26,5.26,0,0,0,0,7.89,1.32,0,1.32,0,9.21,3.95,1.32,0,1.32,0,2.63,5.26,3.95,0,1.32,0,0,0,0,0,6.58,2.63,0,1.32,2.63,0,13.16,1.32,0,15.79,0,9.21,6.58,1.32,3.95,0,1.32,0,0,0,0,0,0,0,0,7.89,6.58,0,0,0,0,0,0,0,1.32,0,0
